Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Rockdale,RCK,Coffield,US,67
United States,Rockford,RMC,Machesney,US,67
United States,Rockford,ZRF,Park & Ride Bus Svc,US,67
United States,Rockford,ZRK,VanGalder Bus Termina,US,67
United States,Rockland,RKD,Knox County Regional,US,67
United States,Rockport,RKP,Aransas County,US,67
United States,Rockwood,RKW,Municipal,US,67
United States,Rocky Mount,RWI,Rocky Mount-Wilson,US,67
United States,Rogers,ROG,Rogers,US,67
United States,Rolla,RLA,National,US,67
United States,Roma,FAL,Falcon State,US,67
United States,Rome,RMG,Richard B Russell,US,67
United States,Rome,RME,Griffiss AFB,US,67
United States,Rome,REO,State,US,67
United States,Roosevelt,ROL,Roosevelt,US,67
United States,Rosario,RSJ,Rosario SPB,US,67
United States,Roseau,ROX,Municipal,US,67
United States,Roseburg,RBG,Municipal,US,67
United States,Roswell,ROW,Industrial,US,67
United States,Rotunda,RTD,Rotunda,US,67
United States,Roundup,RPX,Roundup,US,67
United States,Rouses Point,RSX,Rouses Point,US,67
United States,Rowan Bay,RWB,Rowan Bay,US,67
United States,Ruby,RBY,Ruby,US,67
United States,Ruidoso,RUI,Municipal,US,67
United States,Rupert,BYI,Rupert,US,67
United States,Russell,RSL,Russell,US,67
United States,Russian Mission,RSH,Russian SPB,US,67
United States,Ruston,RSN,Ruston,US,67
United States,Rutland,RUT,Rutland,US,67
United States,Sacramento,SAC,Executive,US,67
United States,Sacramento,MHR,Mather AFB,US,67
United States,Sacramento,MCC,Mcclellan AFB,US,67
United States,Sacramento,SMF,Sacramento International,US,67
United States,Sacramento,SCK,Stockton,US,67
United States,Safford,SAD,Safford,US,67
United States,Saginaw,MBS,Tri City,US,67
United States,Saginaw Bay,SGW,Saginaw Bay,US,67
United States,Sagwon,SAG,Sagwon,US,67
United States,Saint Cloud,STC,Municipal,US,67
United States,Saint Cloud,JSK,Municipal Heliport,US,67
United States,Saint George,SGU,Municipal,US,67
United States,Saint Marys,KSM,Saint Marys,US,67
United States,Saint Paul Island,SNP,Saint Paul Island,US,67
United States,Salem,SLO,Leckrone,US,67
United States,Salem,SLE,Mcnary Field,US,67
United States,Salida,SLT,Salida,US,67
United States,Salina,SLN,Salina,US,67
United States,Salina,SBO,Salina,US,67
United States,Salinas,SNS,Salinas,US,67
United States,Salisbury,SRW,Rowan County,US,67
United States,Salisbury-Ocean City,SBY,Wicomico Regional,US,67
United States,Salmon,SMN,Salmon,US,67
United States,Salt Lake City,SLC,International,US,67
United States,Salton City,SAS,Salton City,US,67
United States,San Angelo,GOF,Goodfellow AFB,US,67
United States,San Angelo,SJT,Mathis Fld,US,67
United States,San Antonio,SAT,San Antonio International,US,67
United States,San Antonio,SKF,Kelly AFB,US,67
United States,San Antonio,MDA,Martindale AAF,US,67
United States,San Antonio,RND,Randolph AFB,US,67
United States,San Antonio,SSF,Stinson Municipal,US,67
United States,San Bernardino,SBD,Norton Afb,US,67
United States,San Bernardino,SBT,Tri-City,US,67
United States,San Carlos,SQL,San Carlos,US,67
United States,San Diego,SDM,Brown Field Municipal,US,67
United States,San Diego,CLD,Carlsbad,US,67
United States,San Diego,SEE,Gillespie Field,US,67
United States,San Diego,SAN,Lindberg Fld S. Diego,US,67
United States,San Diego,NKX,Miramar MCAS,US,67
United States,San Diego,MYF,Montgomery Field,US,67
United States,San Diego,NZY,North Island Nas,US,67
United States,San Francisco,JCC,China Basin Heliport,US,67
United States,San Francisco,EMB,Embarkadero,US,67
United States,San Francisco,SFO,San Francisco International,US,67
United States,San Jose,SJC,Mineta San Jose International,US,1
United States,San Jose,RHV,Reid-Hillview,US,67
United States,San Juan,WSJ,San Juan SPB,US,67
United States,San Luis Obispo,SBP,County,US,67
United States,San Miguel,SYL,Roberts AAF,US,67
United States,San Pedro,SPQ,Catalina SPB,US,67
United States,San Rafael,SRF,Hamilton Field,US,67
United States,San Rafael,JSG,San Rafael H/P,US,67
United States,Sand Point,SDP,Municipal,US,67
